Time,Euler_x,Euler_y,Euler_z,Grav_x,Grav_y,Grav_z,LinAcc_x,LinAcc_y,LinAcc_z,Control_Setpoint
955,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
966,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
978,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
989,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1124,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1136,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1170,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1182,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1196,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1224,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1238,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1264,359.62,0.00,0.00,0.00,0.00,9.80,-0.65,-0.69,-0.22,0.00
1280,359.62,0.00,0.00,0.00,0.00,9.80,-0.63,-0.64,-0.22,0.00
1293,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.20,0.00
1304,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.05,-0.01,-0.22,0.00
1320,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.00,-0.20,0.00
1333,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.01,-0.18,0.00
1344,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.04,-0.22,0.00
1360,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.02,-0.20,0.00
1371,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.01,-0.25,0.00
1383,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.02,-0.24,0.00
1394,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.00,-0.18,0.00
1405,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,-0.01,-0.16,0.00
1421,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.00,-0.16,0.00
1433,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.20,0.00
1444,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.00,-0.23,0.00
1455,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.24,0.00
1471,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.24,0.00
1484,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.02,-0.17,0.00
1495,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.01,-0.17,0.00
1511,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.00,-0.19,0.00
1523,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,0.01,-0.21,0.00
1535,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.01,-0.22,0.00
1549,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.02,-0.23,0.00
1562,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,0.00,-0.19,0.00
1574,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,0.03,-0.16,0.00
1586,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.01,-0.18,0.00
1600,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.02,-0.22,0.00
1613,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.02,-0.19,0.00
1624,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,0.00,-0.23,0.00
1635,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.23,0.00
1646,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.02,-0.21,0.00
1661,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.02,-0.21,0.00
1674,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.01,-0.19,0.00
1686,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.01,-0.18,0.00
1699,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,-0.01,-0.21,0.00
1711,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,0.00,-0.22,0.00
1728,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.01,-0.19,0.00
1743,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.02,-0.18,0.00
1754,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.03,-0.22,0.00
1765,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.01,-0.22,0.00
1776,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.19,0.00
1788,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.03,-0.20,0.00
1801,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.18,0.00
1814,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.04,-0.20,0.00
1825,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.01,-0.23,0.00
1836,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.21,0.00
1849,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.19,0.00
1862,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.03,-0.22,0.00
1874,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.00,-0.21,0.00
1886,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.20,0.00
1897,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.20,0.00
1912,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.19,0.00
1925,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.23,0.00
1936,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.19,0.00
1949,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.01,-0.20,0.00
2001,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.22,0.00
2014,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.21,0.00
2026,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.02,-0.24,0.00
2037,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.22,0.00
2050,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.21,0.00
2062,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,-0.02,-0.18,0.00
2073,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.18,0.00
2085,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.21,0.00
2097,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.19,0.00
2113,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,0.00,-0.22,0.00
2125,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,-0.03,-0.23,0.00
2137,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,-0.01,-0.18,0.00
2148,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,-0.02,-0.19,0.00
2163,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.00,-0.17,0.00
2176,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.02,-0.21,0.00
2187,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.04,0.01,-0.18,0.00
2200,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.19,0.00
2212,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.01,-0.18,0.00
2223,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.02,-0.25,0.00
