Time,Euler_x,Euler_y,Euler_z,Grav_x,Grav_y,Grav_z,LinAcc_x,LinAcc_y,LinAcc_z,Control_Setpoint
1234,0,0,0,0,0,0,0,0,0,0
1245,2.75,5.44,-2.12,0.93,0.36,9.75,-4.1,-1.98,-2.69,0
1256,3.25,6.62,-2.88,1.13,0.49,9.72,-4.27,-1.76,-3.52,0
1267,3.88,8,-3.94,1.37,0.67,9.68,-4.13,-1.47,-3.78,0
1282,4.56,9.56,-5.31,1.63,0.89,9.62,-3.22,-0.76,-2.7,0
1293,5.25,11.19,-6.81,1.91,1.14,9.54,-2.37,-0.78,-1.01,0
1305,6.69,14.56,-10,2.47,1.65,9.34,-2.22,-0.83,-0.41,0
1316,7.38,16.25,-11.44,2.74,1.87,9.22,-1.21,-1.07,1.06,0
1327,8,17.81,-12.62,3,2.04,9.1,-1.08,-1.26,1.6,0
1338,8.5,19.31,-13.69,3.24,2.19,8.98,-1.29,-1.29,1.65,0
1353,9.06,20.69,-14.62,3.47,2.31,8.87,-1.55,-1.06,0.02,0
1365,10.06,23.44,-16.69,3.9,2.59,8.61,-1.56,-1.01,0.2,0
1377,10.62,24.75,-18,4.1,2.76,8.46,-1.43,-1.03,0.65,0
1389,11.12,25.94,-19.5,4.29,2.95,8.3,-1.13,-1.03,1.37,0
1402,11.69,27.06,-21.12,4.46,3.14,8.14,-0.44,-0.92,2.75,0
1413,12.12,28,-22.62,4.61,3.33,7.98,-0.22,-1.09,3.41,0
1426,12.88,29.44,-25.19,4.82,3.63,7.72,0.23,-1.66,4.68,0
1437,13.12,29.88,-26.12,4.89,3.74,7.62,0.48,-2.01,5.64,0
1453,13.19,30.19,-26.69,4.93,3.81,7.56,0.48,-2.29,5.71,0
1465,12.81,30.06,-27.19,4.91,3.88,7.54,0.75,-2.72,5.78,0
1477,12.38,29.75,-27.12,4.86,3.88,7.57,0.61,-2.79,5.39,0
1488,11.81,29.19,-26.81,4.78,3.86,7.63,0.55,-2.71,4.94,0
1501,11.06,28.56,-26.44,4.68,3.83,7.71,0.26,-2.53,4.6,0
1514,10.19,27.75,-25.94,4.44,3.76,7.89,-0.39,-2.37,3.14,0
1526,8.31,26,-25.06,4.3,3.73,7.98,-0.31,-2.23,3.25,0
1539,7.25,24.94,-24.62,4.14,3.7,8.08,-0.18,-2.03,3.66,0
1550,6.06,23.75,-24,3.95,3.65,8.19,0.05,-1.79,5.53,0
1564,4.75,22.31,-23.06,3.72,3.55,8.34,0.5,-2.37,5.08,0
1576,1.75,18.88,-19.88,3.18,3.15,8.72,0.64,-2.23,4.43,0
1589,0,16.94,-17.81,2.85,2.87,8.93,0.2,-1.37,3.54,0
1603,358.12,14.69,-15.62,2.49,2.55,9.13,0.03,-1.24,2.25,0
1616,354.19,9.62,-11.69,1.64,1.96,9.46,0.15,-0.96,0.44,0
1627,352.12,6.94,-10.19,1.18,1.72,9.58,-0.66,-0.15,-0.96,0
1640,350.19,4.12,-9,0.7,1.53,9.66,-1.15,0.55,-2.27,0
1652,348.44,1.31,-8.12,0.23,1.38,9.7,-1.48,1.16,-3.36,0
1665,346.81,-1.25,-7.56,-0.63,1.22,9.7,-1.72,2.53,-3.69,0
1677,344,-5.94,-6.81,-1.01,1.15,9.68,-1.78,3.11,-2.64,0
1689,342.75,-8.06,-6.25,-1.38,1.05,9.65,-2.06,3.3,-2.72,0
1704,341.5,-10.12,-5.44,-1.73,0.91,9.6,-2.41,2.24,-4.31,0
1717,339.25,-13.94,-3.5,-2.36,0.58,9.49,-2.56,2.12,-4.87,0
1728,338.25,-15.62,-2.56,-2.64,0.42,9.43,-2.81,1.97,-4.92,0
1740,337.38,-17.12,-1.81,-2.88,0.3,9.36,-2.82,1.71,-5.34,0
1752,336.69,-18.38,-1.31,-3.1,0.22,9.3,-3.46,2,-5.95,0
